Parameter,Value
Crank Angle θ₂ (deg),60.8450704225352
,NaN
--- POSITIONS ---,NaN
Point A - X (mm),119.990671467544
Point A - Y (mm),215.095162104516
Point B - X (mm),558.89369972758
Point B - Y (mm),420.57186682836
Point C - X (mm),440.575213915094
Point C - Y (mm),272.252495349648
Point D - X (mm),893.005429815633
Point D - Y (mm),-78.91
,NaN
--- VELOCITIES ---,NaN
v_A (mm/s),2463
v_B (mm/s),3662.7272893833
v_C (mm/s),3127.58242096989
v_D (mm/s),3946.90042995114
ω_3 (rad/s),2.82568496071344
ω_4 (rad/s),-4.83727316318748
ω_5 (rad/s),-4.6543700241489
,NaN
--- ACCELERATIONS ---,NaN
a_A (mm/s²),24630
a_B (mm/s²),39056.3993785011
a_C (mm/s²),35234.6804272288
a_D (mm/s²),2777.74876129448
α_3 (rad/s²),-34.1107520139252
α_4 (rad/s²),-69.9477845920799
α_5 (rad/s²),55.9069182000431
,NaN
--- FORCES ---,NaN
F_12 at O (N),67.5348873295526
F_23 at A (N),63.0684407998585
F_34 at B (N),15.2687324565875
F_45 at C (N),20.2518890154607
Driving Torque T_2 (N·m),2.58913530677731
Slider Side Load N (N),8.829
